city,lat,lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,date
Marsaxlokk,35.8419,14.5431,16.11,94,40,8.75,MT,1619037940
Manono,-7.3,27.4167,20.52,96,100,1.22,CD,1619037940
Alofi,-19.0595,-169.9187,28.0,78,40,4.12,NU,1619037941
Katherine,-14.4667,132.2667,23.0,78,34,2.57,AU,1619037941
Swan River,52.1058,-101.2676,16.0,14,15,7.2,CA,1619037941
Key Largo,25.0865,-80.4473,29.44,67,100,3.58,US,1619037811
Springbok,-29.6643,17.8865,17.71,46,0,0.37,ZA,1619037941
Saskylakh,71.9167,114.0833,-22.7,100,91,2.75,RU,1619037942
Marzuq,14.4,46.4667,21.47,38,5,2.45,YE,1619037942
Bubaque,11.2833,-15.8333,25.71,70,97,8.75,GW,1619037942
Caniço,32.6333,-16.85,19.0,82,75,1.03,PT,1619037942
Fonte Boa,-2.4959,-66.2662,28.53,77,83,1.38,BR,1619037943
Krasnosel'kup,65.7,82.4667,-11.53,93,63,4.66,RU,1619037943
Santa Isabel Rio Negro,-0.4139,-65.0192,27.56,88,84,0.38,BR,1619037943
Tiquisio,8.5597,-74.2669,31.42,61,76,1.96,CO,1619037944
Bambous Virieux,-20.3428,57.7575,25.56,94,40,3.09,MU,1619037944
Cervo,43.6702,-7.4101,12.78,88,100,3.48,ES,1619037944
Khovd,48.0056,91.6419,-1.04,73,100,2.09,MN,1619037944
Spring Hill,28.4769,-82.5255,27.0,36,1,5.14,US,1619037944
Oxford,51.7522,-1.256,7.78,61,0,4.63,GB,1619037945
Half Moon Bay,37.4636,-122.4286,18.89,87,75,2.06,US,1619037945
Umluj,25.0213,37.2685,28.23,50,73,2.62,SA,1619037945
Beloha,-25.1667,45.05,20.94,82,8,6.33,MG,1619037946
Aklavik,68.2191,-135.0107,-3.0,50,40,8.75,CA,1619037737
Mariehamn,60.0973,19.9348,5.0,87,100,2.06,AX,1619037946
Nemuro,43.3236,145.575,0.97,90,99,12.75,JP,1619037946
Chumikan,54.7183,135.315,-3.88,90,98,2.28,RU,1619037946
Sechura,-5.5569,-80.8222,27.13,57,16,6.56,PE,1619037947
Nanortalik,60.1432,-45.2371,3.49,76,100,2.53,GL,1619037947
Jalu,29.0331,21.5482,21.55,23,50,4.38,LY,1619037947
Yambio,4.5721,28.3955,20.73,93,100,2.2,SS,1619037947
Nishihara,26.1842,127.7558,22.0,88,75,6.69,JP,1619037948
Iqaluit,63.7506,-68.5145,-7.0,93,90,9.77,CA,1619037948
Usinsk,65.9939,57.5281,1.36,89,99,4.83,RU,1619037948
Dudinka,69.4058,86.1778,-7.89,95,100,7.23,RU,1619037948
Ouadda,8.0777,22.4007,22.25,76,100,1.14,CF,1619037949
Fort Abbas,29.1925,72.8536,25.96,32,0,3.74,PK,1619037949
Myitkyina,25.3833,97.4,21.55,45,12,1.06,MM,1619037949
Sampit,-2.5333,112.95,22.82,88,92,0.16,ID,1619037950
Zhuhai,22.2769,113.5678,23.0,88,20,4.63,CN,1619037950
Merauke,-8.4667,140.3333,24.7,92,98,2.4,ID,1619037950
Los Llanos de Aridane,28.6585,-17.9182,20.0,73,75,3.6,ES,1619037950
Kiryat Gat,31.61,34.7642,18.33,83,100,2.58,IL,1619037951
Ancud,-41.8697,-73.8203,13.33,58,75,1.54,CL,1619037951
Puerto Escondido,15.85,-97.0667,32.0,74,40,3.09,MX,1619037951
Olafsvik,64.8945,-23.7142,5.62,84,100,2.92,IS,1619037951
Elmira,42.0898,-76.8077,3.33,65,90,5.14,US,1619037952
Waddān,29.1614,16.139,21.52,19,39,7.93,LY,1619037952
Saldanha,-33.0117,17.9442,14.0,82,24,0.51,ZA,1619037952
Kamenka,51.3223,42.7678,6.11,94,100,3.53,RU,1619037953
Walvis Bay,-22.9575,14.5053,26.0,29,79,4.12,NA,1619037953
Normandin,48.8333,-72.5321,-1.0,54,100,4.12,CA,1619037953
Sola,-13.8833,167.55,28.07,76,62,5.73,VU,1619037953
Mossamedes,-15.1961,12.1522,26.77,79,32,2.13,AO,1619037954
Coahuayana Viejo,18.7333,-103.6833,32.0,17,1,4.12,MX,1619037919
Farafangana,-22.8167,47.8333,22.26,86,82,0.7,MG,1619037954
Vila Velha,-20.3297,-40.2925,28.33,69,20,3.6,BR,1619037954
Ocean City,39.2776,-74.5746,11.67,76,75,9.77,US,1619037700
Llano de Piedra,7.6667,-80.5667,29.92,61,96,4.2,PA,1619037954
Mesagne,40.5588,17.8083,12.78,93,0,2.06,IT,1619037955
Ambilobe,-13.2,49.05,24.11,73,100,2.55,MG,1619037955
São Gabriel da Cachoeira,-0.1303,-67.0892,27.17,88,64,0.21,BR,1619037955
Cedar City,37.6775,-113.0619,20.0,5,1,11.83,US,1619037955
Gubkinskiy,64.434,76.5026,-9.33,89,37,5.63,RU,1619037956
Road Town,18.4167,-64.6167,24.0,94,40,4.63,VG,1619037956
Sanguéya,10.7,-14.3667,25.82,70,99,3.08,GN,1619037956
Liwale,-9.7667,37.9333,19.46,97,39,1.85,TZ,1619037956
São Filipe,14.8961,-24.4956,23.03,70,92,5.79,CV,1619037957
Isangel,-19.55,169.2667,26.68,81,11,2.19,VU,1619037957
Kazygurt,41.7589,69.3864,7.0,87,0,1.37,KZ,1619037957
Puerto Ayora,-0.7393,-90.3518,28.0,74,40,4.12,EC,1619037876
Port-Gentil,-0.7193,8.7815,27.0,94,20,2.06,GA,1619037957
Juneau,58.3019,-134.4197,11.0,54,20,4.63,US,1619037905
Carutapera,-1.195,-46.02,24.24,93,100,1.6,BR,1619037958
Westport,41.1415,-73.3579,11.11,100,90,6.85,US,1619037751
Mahajanga,-15.7167,46.3167,26.0,73,40,4.12,MG,1619037958
Asău,46.4333,26.4,7.22,56,7,2.61,RO,1619037958
Homer,59.6425,-151.5483,8.33,93,40,4.63,US,1619037959
Nelson Bay,-32.7167,152.15,8.89,87,1,5.14,AU,1619037959
Arys,42.4252,68.795,6.0,75,40,4.0,KZ,1619037959
Adeje,28.1227,-16.726,20.0,73,20,5.66,ES,1619037959
Opuwo,-18.0607,13.84,21.89,30,52,4.24,NA,1619037960
Talcahuano,-36.7167,-73.1167,15.0,88,90,5.14,CL,1619037960
Kenai,60.5544,-151.2583,9.0,57,1,4.63,US,1619037961
Moa,20.6569,-74.9403,28.78,66,95,4.19,CU,1619037961
Voivodeni,46.7,24.6333,6.11,87,24,1.03,RO,1619037961
Brae,60.3964,-1.353,6.0,75,90,6.69,GB,1619037961
Englewood,39.6478,-104.9878,2.78,64,90,3.09,US,1619037898
Gobabis,-22.45,18.9667,16.02,36,62,4.86,NA,1619037673
Praia da Vitória,38.7333,-27.0667,19.0,88,75,12.22,PT,1619037962
Rome,43.2128,-75.4557,2.78,75,90,5.14,US,1619037962
Mumford,5.2618,-0.759,27.97,83,100,5.57,GH,1619037962
Vereshchagino,58.0789,54.6557,6.64,50,100,4.72,RU,1619037963
Hatillo,18.4863,-66.8254,28.89,69,75,5.66,PR,1619037963
Danshui,22.7984,114.4672,22.78,92,1,0.74,CN,1619037963
Svetlaya,46.5389,138.3297,3.33,70,1,0.74,RU,1619037963
Dali,25.7,100.1833,12.09,61,1,2.32,CN,1619037964
Porto Belo,-27.1578,-48.5531,22.22,88,75,2.06,BR,1619037964
Hobyo,5.3505,48.5268,29.02,68,98,5.88,SO,1619037964
Tot'ma,59.9747,42.7642,2.73,96,100,4.64,RU,1619037964
Kapit,2.0167,112.9333,22.25,99,81,0.16,MY,1619037965
Brigantine,39.4101,-74.3646,11.0,76,75,9.77,US,1619037965
Carauari,-4.8828,-66.8958,26.53,93,50,0.93,BR,1619037965
Conakry,9.538,-13.6773,28.0,69,75,2.06,GN,1619037966
